country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","11-11-2025 18:00:00",25.366336,87.117468,CO,52,70,65
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","11-11-2025 18:00:00",25.892357,86.590325,PM2.5,28,177,69
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","11-11-2025 18:00:00",25.892357,86.590325,NO2,6,8,7
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","11-11-2025 18:00:00",25.859655,85.77944,NH3,2,2,2
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","11-11-2025 18:00:00",24.952822,84.002396,CO,36,64,55
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","11-11-2025 18:00:00",26.2271665,84.3570427,OZONE,14,14,14
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","11-11-2025 18:00:00",30.735567,76.775714,PM10,33,134,76
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","11-11-2025 18:00:00",22.06631475,83.33820077,NH3,1,2,1
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","11-11-2025 18:00:00",22.06631475,83.33820077,CO,18,60,23
India,Delhi,Delhi,"Alipur, Delhi - DPCC","11-11-2025 18:00:00",28.815329,77.153010,PM2.5,302,500,433
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD","11-11-2025 18:00:00",28.4706914,77.1099364,PM10,227,486,406
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","11-11-2025 18:00:00",25.586562,85.043586,SO2,8,10,9
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","11-11-2025 18:00:00",25.586562,85.043586,CO,32,106,57
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","11-11-2025 18:00:00",25.586562,85.043586,OZONE,8,81,58
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","11-11-2025 18:00:00",25.592539,85.227158,PM10,100,148,115
India,Bihar,Patna,"Muradpur, Patna - BSPCB","11-11-2025 18:00:00",25.619651,85.147382,PM2.5,124,212,180
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","11-11-2025 18:00:00",30.719859,76.738637,PM10,38,144,87
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","11-11-2025 18:00:00",21.194815,81.314770,NH3,5,5,5
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","11-11-2025 18:00:00",21.194815,81.314770,OZONE,1,67,51
